Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
321,250,498,0,498,0.25,2500,0,100,0,0
322,250,498,0,498,0.25,2500,398,60,0,29.89784712478644
323,250,498,0,498,0.25,2500,403,7,50,48.307435022835904
324,250,498,0,498,0.25,2500,0,99,0,0
325,250,498,0,498,0.25,2500,0,11,50,0
326,250,498,0,498,0.25,2500,393,65,50,25
327,250,498,0,498,0.25,2500,418,69,0,58.44856793893609
328,250,498,0,498,0.25,2500,0,87,0,0
329,250,498,0,498,0.25,2500,0,49,0,0
330,250,498,0,498,0.25,2500,387,68,100,30.819411003718557
331,250,498,0,498,0.25,5000,458,81,50,34.623020607284914
332,250,498,0,498,0.25,5000,464,43,0,33.560778572084104
333,250,498,0,498,0.25,5000,453,76,0,27.680167773618244
334,250,498,0,498,0.25,5000,498,5,50,19.85855869259492
335,250,498,0,498,0.25,5000,493,91,0,19.999999999999996
336,250,498,0,498,0.25,5000,495,12,0,25
337,250,498,0,498,0.25,5000,0,20,50,0
338,250,498,0,498,0.25,5000,441,22,0,25.9074953249853
339,250,498,0,498,0.25,5000,498,28,100,11.06581673699595
340,250,498,0,498,0.25,5000,0,75,100,0
341,250,498,0,498,0.75,2500,0,63,0,0
342,250,498,0,498,0.75,2500,0,23,100,0
343,250,498,0,498,0.75,2500,0,3,100,0
344,250,498,0,498,0.75,2500,0,22,100,0
345,250,498,0,498,0.75,2500,0,9,50,0
346,250,498,0,498,0.75,2500,0,30,0,0
347,250,498,0,498,0.75,2500,392,79,50,48.59196796922712
348,250,498,0,498,0.75,2500,419,45,50,37.7385256074826
349,250,498,0,498,0.75,2500,0,93,0,0
350,250,498,0,498,0.75,2500,402,71,0,30.768236986951113
351,250,498,0,498,0.75,5000,0,3,50,0
352,250,498,0,498,0.75,5000,446,30,0,33.65326940676133
353,250,498,0,498,0.75,5000,498,19,100,12.10589716616109
354,250,498,0,498,0.75,5000,0,97,100,0
355,250,498,0,498,0.75,5000,497,99,100,7.927530509487636
356,250,498,0,498,0.75,5000,0,4,0,0
357,250,498,0,498,0.75,5000,0,15,50,0
358,250,498,0,498,0.75,5000,0,22,0,0
359,250,498,0,498,0.75,5000,497,56,0,19.02080680592958
360,250,498,0,498,0.75,5000,0,49,0,0
361,250,498,0,999,0.25,2500,371,77,0,24.961460061138418
362,250,498,0,999,0.25,2500,0,14,100,0
363,250,498,0,999,0.25,2500,0,59,0,0
364,250,498,0,999,0.25,2500,366,75,100,25
365,250,498,0,999,0.25,2500,392,56,0,25.104305702248272
366,250,498,0,999,0.25,2500,386,19,0,25.370255541511142
367,250,498,0,999,0.25,2500,395,80,50,31.196240147718413
368,250,498,0,999,0.25,2500,0,4,50,0
369,250,498,0,999,0.25,2500,0,43,0,0
370,250,498,0,999,0.25,2500,0,81,100,0
371,250,498,0,999,0.25,5000,0,86,0,0
372,250,498,0,999,0.25,5000,491,78,0,21.858508436246932
373,250,498,0,999,0.25,5000,0,16,0,0
374,250,498,0,999,0.25,5000,0,83,0,0
375,250,498,0,999,0.25,5000,484,65,50,22.289156626506035
376,250,498,0,999,0.25,5000,487,51,100,23.320896259494226
377,250,498,0,999,0.25,5000,0,10,100,0
378,250,498,0,999,0.25,5000,490,3,0,23.4375
379,250,498,0,999,0.25,5000,488,53,50,22.058823529411768
380,250,498,0,999,0.25,5000,489,28,0,22.29729729729729
381,250,498,0,999,0.75,2500,357,46,0,24.539362888685382
382,250,498,0,999,0.75,2500,365,35,0,26.73399655035486
383,250,498,0,999,0.75,2500,0,33,100,0
384,250,498,0,999,0.75,2500,370,91,100,27.594745637336544
385,250,498,0,999,0.75,2500,0,81,0,0
386,250,498,0,999,0.75,2500,0,1,0,0
387,250,498,0,999,0.75,2500,0,79,50,0
388,250,498,0,999,0.75,2500,0,58,50,0
389,250,498,0,999,0.75,2500,0,25,100,0
390,250,498,0,999,0.75,2500,0,72,100,0
391,250,498,0,999,0.75,5000,0,45,50,0
392,250,498,0,999,0.75,5000,489,79,100,21.056254271435012
393,250,498,0,999,0.75,5000,486,90,50,19.977775172854642
394,250,498,0,999,0.75,5000,0,30,100,0
395,250,498,0,999,0.75,5000,0,24,100,0
396,250,498,0,999,0.75,5000,491,89,0,21.022865428987465
397,250,498,0,999,0.75,5000,0,82,100,0
398,250,498,0,999,0.75,5000,0,62,100,0
399,250,498,0,999,0.75,5000,487,30,0,21.279041430810068
400,250,498,0,999,0.75,5000,489,9,50,20.655199227968893
481,250,999,0,498,0.25,2500,487,95,50,50
482,250,999,0,498,0.25,2500,489,16,50,68.96256721152581
483,250,999,0,498,0.25,2500,486,59,50,31.144833368881155
484,250,999,0,498,0.25,2500,458,88,0,50.00540669668084
485,250,999,0,498,0.25,2500,0,99,0,0
486,250,999,0,498,0.25,2500,471,22,100,73.54170438312227
487,250,999,0,498,0.25,2500,475,29,100,62.29418411848566
488,250,999,0,498,0.25,2500,490,77,0,48.821908113426964
489,250,999,0,498,0.25,2500,472,13,50,67.76244922509856
490,250,999,0,498,0.25,2500,461,53,50,53.12925416288236
491,250,999,0,498,0.25,5000,619,58,0,71.15959632764398
492,250,999,0,498,0.25,5000,0,33,50,0
493,250,999,0,498,0.25,5000,629,65,50,50.00000144192378
494,250,999,0,498,0.25,5000,0,44,0,0
495,250,999,0,498,0.25,5000,635,26,0,50.00000000000001
496,250,999,0,498,0.25,5000,634,96,50,62.70201260411838
497,250,999,0,498,0.25,5000,600,24,0,57.26399849368792
498,250,999,0,498,0.25,5000,0,72,50,0
